"model_id","target_end_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"Google_SAI-Ensemble",2026-07-18,0.707071691531056,0.626017522849601,3.707165737644,0.241155590244669,0.828663234675339,0.857516487380726,5.98397435897436,0.389035657218896,0.480769230769231,0.980769230769231,52
"Google_SAI-Ensemble",2026-07-25,0.674362323810675,0.591185095354349,5.3014833031401,0.264090253037336,0.731310002307049,0.781516982073929,7.69391025641026,0.393334414025337,0.625,0.942307692307692,104
"Google_SAI-Ensemble",2026-08-01,0.644116084531257,0.555878763907853,5.7966663755729,0.24629477861831,0.714785209939417,0.690554135429816,9.21688034188034,0.366427600747535,0.666666666666667,0.961538461538462,156
"Google_SAI-Ensemble",2026-08-08,0.57842965941915,0.60186999646348,4.89407104352471,0.281137033521464,0.6488464093471,0.960298828517126,7.1965811965812,0.454129536497795,0.5625,0.961538461538462,208
"OHT_JHU-nbxd",2026-07-18,0.937175460063754,0.958483604147514,5.06859849498328,0.385950898157136,1.0604371950436,1.12463059529845,7.75211538461538,0.518302695223962,0.230769230769231,0.576923076923077,52
"OHT_JHU-nbxd",2026-07-25,0.828728925646569,0.860756518066913,6.5665029264214,0.393845549070418,0.948253091265325,1.0872688321874,9.72615384615385,0.537981951466943,0.259615384615385,0.634615384615385,104
"OHT_JHU-nbxd",2026-08-01,0.810403971008887,0.798283592660492,7.57408043478261,0.365153507682108,0.886336359334201,0.905526688020802,11.8055769230769,0.491923082838382,0.358974358974359,0.692307692307692,156
"OHT_JHU-nbxd",2026-08-08,0.994495803915855,1.05608932753444,8.67134412625418,0.507968218548677,1.15410334615492,1.41022944748404,12.9962980769231,0.669345322009074,0.211538461538462,0.524038461538462,208
"UGA_flucast-INFLAenza",2026-07-18,0.675146270512612,0.592279146990592,3.41689816053512,0.219398327992397,0.814775415278727,0.785914242629676,5.65384615384615,0.339452907297793,0.519230769230769,0.961538461538462,52
"UGA_flucast-INFLAenza",2026-07-25,0.613686583796576,0.515261867839894,4.69676364966555,0.222815474542265,0.697966672335812,0.699867946227364,7.05288461538461,0.335071348925411,0.653846153846154,0.942307692307692,104
"UGA_flucast-INFLAenza",2026-08-01,0.574213367753117,0.496195732293689,5.10020699554069,0.215443677977233,0.66897302382867,0.646244586074657,8.50641025641026,0.337492227006894,0.615384615384615,0.961538461538462,156
"UGA_flucast-INFLAenza",2026-08-08,0.513458012086464,0.570260327384248,4.2480368729097,0.262836638932489,0.585926196139667,0.889903539565667,6.32451923076923,0.414319844002193,0.552884615384615,0.971153846153846,208
"UMass-ar6_pooled",2026-07-18,0.714464492791938,0.675970966086517,3.79499695067519,0.264950928663077,0.686686988791748,0.823816688504756,4.89788991840223,0.373785667261589,0.653846153846154,1,52
"UMass-ar6_pooled",2026-07-25,0.727797630431834,0.685365972558999,5.73943964612647,0.309773918383445,0.683196074814003,0.862834426703393,7.49382378973972,0.459395259408188,0.701923076923077,0.961538461538462,104
"UMass-ar6_pooled",2026-08-01,0.682816727147739,0.639902561181793,6.2851930575973,0.291056467169579,0.719356618343515,0.77125300213048,9.3012459375577,0.41622202790161,0.807692307692308,0.993589743589744,156
"UMass-ar6_pooled",2026-08-08,0.748525047561771,0.675705989132218,6.53080543359975,0.322418510055453,0.726925309877075,1.00540553807759,8.16433928516691,0.490319955962256,0.793269230769231,1,208
"UMass-gbqr",2026-07-18,0.648893167258928,0.623201778460736,3.39493210099334,0.241864851630757,0.762114985333385,0.861048114583166,5.43840547116299,0.389567642263814,0.442307692307692,0.961538461538462,52
"UMass-gbqr",2026-07-25,0.655616254045728,0.601423319855138,5.08022532771438,0.266991884867591,0.76220398894559,0.862131377064466,7.7114621886643,0.421149100187163,0.538461538461538,0.951923076923077,104
"UMass-gbqr",2026-08-01,0.605077940236634,0.593573451283798,5.53443320962228,0.267259641430439,0.684370599590658,0.778283946692199,9.00511858471137,0.422668966851834,0.57051282051282,0.967948717948718,156
"UMass-gbqr",2026-08-08,0.631936119731555,0.599632163809494,5.26628026450228,0.272995942146043,0.694880485666773,0.877169062007926,7.5443714767933,0.402809458030273,0.591346153846154,0.961538461538462,208
